10650,63-2993
10842,62-5041
10843,62-8613
10918,71-9243
10970,60-5329
10976,94-5564
10984,98-8859
11163,68-2204
11170,60-4954
11252,67-6694
11253,87-9996
11472,44-5541
11473,63-0045
11496,47-7882
11682,95-9334
11794,70-5565
11801,70-2522
11836,74-0161
12017,57-7759
12131,92-5725
12346,52-8936
12484,86-5793
12500,72-1650
12523,80-6145
12551,92-9529
12673,94-2084
12683,77-8708
12748,73-4946
12785,66-0506
12808,47-9399
12836,72-0011
12842,96-3140
12860,95-6595
13109,98-2234
13131,81-1198
13132,76-5987
13384,78-4553
13410,91-3213
13522,46-6935
13564,62-5442
13923,76-1870
14015,97-0624
14173,60-0640
14413,98-0646
14514,81-4921
14519,57-9484
14588,48-1906
14618,62-0486
14811,57-3206
14859,45-2835
15129,52-1928
15182,74-4968
15183,96-5081
15321,49-0799
15416,77-8227
15432,69-3219
15700,75-7199
16066,94-0007
16103,88-0834
16238,46-2860
16265,67-8482
16303,63-9520
16334,85-7691
16377,75-6616
16496,77-8787
16607,60-5433
16800,77-6557
16853,56-2374
16904,75-5484
16919,89-1266
16943,55-4405
17043,81-1927
17050,86-7686
17093,45-4500
17107,65-0758
17357,79-2195
17509,46-3438
17577,53-4793
17632,87-2654
17797,46-1106
17951,92-9939
17990,58-4284
18038,89-2783
18586,54-5963
18777,52-3144
18869,50-2764
18910,64-0965
18963,64-2403
19130,70-4937
19193,61-9251
19213,66-4255
19275,74-1417
19305,73-8829
19408,83-3252
19639,76-8016
19759,95-3291
19793,98-8293
19854,71-8909
19910,96-8710
19921,83-7149
